date,avg_temperature
2023-12-31,7.25
2023-12-30,10.8
2023-12-29,9.94
2023-12-28,10.64
2023-12-27,9.19
2023-12-26,7.95
2023-12-25,7.8
2023-12-24,3
2023-12-23,3.3
2023-12-22,7.35
2023-12-21,9.19
2023-12-20,9.3
2023-12-19,8.94
2023-12-18,6.5
2023-12-17,5.35
2023-12-16,7
2023-12-15,8.3
2023-12-14,6.45
2023-12-13,5.09
2023-12-12,4.55
2023-12-11,5.95
2023-12-10,6.15
2023-12-09,2.75
2023-12-08,3.45
2023-12-07,5.5
2023-12-06,8.25
2023-12-05,10.4
2023-12-04,7.9
2023-12-03,6.95
2023-12-02,6.5
2023-12-01,4.45
2023-11-30,1.69
2023-11-29,0.95
2023-11-28,1.8
2023-11-27,4.3
2023-11-26,1.79
2023-11-25,3.09
2023-11-24,2.54
2023-11-23,3.7
2023-11-22,5.55
2023-11-21,4.39
2023-11-20,6.5
2023-11-19,7.35
2023-11-18,5.65
2023-11-17,4.09
2023-11-16,3.09
2023-11-15,5.35
2023-11-14,4.75
2023-11-13,6.55
2023-11-12,7.3
2023-11-11,8.85
2023-11-10,6.6
2023-11-09,6.8
2023-11-08,7.3
2023-11-07,8.65
2023-11-06,10.1
2023-11-05,11.89
2023-11-04,14.2
2023-11-03,11.2
2023-11-02,12.45
2023-11-01,6.75
2023-10-31,5.45
2023-10-30,4.2
2023-10-29,4.09
2023-10-28,3.05
2023-10-27,3.64
2023-10-26,4.75
2023-10-25,7.3
2023-10-24,7.69
2023-10-23,8.19
2023-10-22,8.85
2023-10-21,11.55
2023-10-20,12.05
2023-10-19,13.75
2023-10-18,12.25
2023-10-17,10.3
2023-10-16,14.3
2023-10-15,15.89
2023-10-14,15.75
2023-10-13,12.1
2023-10-12,11.45
2023-10-11,12.8
2023-10-10,13.85
2023-10-09,14.95
2023-10-08,15.6
2023-10-07,13.5
2023-10-06,12.6
2023-10-05,13.35
2023-10-04,13.2
2023-10-03,11.75
2023-10-02,11.55
2023-10-01,11.1
2023-09-30,11.7
2023-09-29,10.8
2023-09-28,12.45
2023-09-27,12.75
2023-09-26,14.8
2023-09-25,14.25
2023-09-24,14.1
2023-09-23,14.55
2023-09-22,14.75
2023-09-21,12.7
2023-09-20,13.15
2023-09-19,14.75
2023-09-18,14.65
2023-09-17,15.55
2023-09-16,17.14
2023-09-15,15.6
2023-09-14,15.65
2023-09-13,16.64
2023-09-12,15.65
2023-09-11,18.25
2023-09-10,19.05
2023-09-09,15.8
2023-09-08,14.7
2023-09-07,16.2
2023-09-06,16.1
2023-09-05,16.8
2023-09-04,16.14
2023-09-03,17.14
2023-09-02,18
2023-09-01,17.6
2023-08-31,17.1
2023-08-30,18.1
2023-08-29,15.85
2023-08-28,18.89
2023-08-27,19.1
2023-08-26,17.1
2023-08-25,16.89
2023-08-24,15.2
2023-08-23,16.89
2023-08-22,16.55
2023-08-21,16.39
2023-08-20,15.8
2023-08-19,14
2023-08-18,17.8
2023-08-17,20.25
2023-08-16,20.2
2023-08-15,21.35
2023-08-14,21
2023-08-13,20.8
2023-08-12,20.3
2023-08-11,18.45
2023-08-10,18.55
2023-08-09,19.54
2023-08-08,19.45
2023-08-07,20.05
2023-08-06,19.29
2023-08-05,20.55
2023-08-04,19.35
2023-08-03,19.35
2023-08-02,18.5
2023-08-01,18.14
2023-07-31,17.79
2023-07-30,18.45
2023-07-29,19.39
2023-07-28,18.7
2023-07-27,18.2
2023-07-26,17.35
2023-07-25,16.89
2023-07-24,16.79
2023-07-23,19.14
2023-07-22,20.3
2023-07-21,20.2
2023-07-20,22.4
2023-07-19,20.1
2023-07-18,17.8
2023-07-17,20.6
2023-07-16,20.1
2023-07-15,21.8
2023-07-14,19.25
2023-07-13,18.45
2023-07-12,19.14
2023-07-11,18.14
2023-07-10,16.89
2023-07-09,18.8
2023-07-08,18.14
2023-07-07,18.64
2023-07-06,20.39
2023-07-05,20.2
2023-07-04,20.3
2023-07-03,18.39
2023-07-02,18.29
2023-07-01,17.14
2023-06-30,17.64
2023-06-29,19.35
2023-06-28,19.39
2023-06-27,17.5
2023-06-26,17.89
2023-06-25,16.2
2023-06-24,16.64
2023-06-23,18.45
2023-06-22,16.3
2023-06-21,15.9
2023-06-20,13.45
2023-06-19,12.1
2023-06-18,12.65
2023-06-17,15.39
2023-06-16,17.14
2023-06-15,15.95
2023-06-14,14.25
2023-06-13,16.3
2023-06-12,17.39
2023-06-11,15.64
2023-06-10,13
2023-06-09,14.45
2023-06-08,17.5
2023-06-07,19.05
2023-06-06,17.45
2023-06-05,15.65
2023-06-04,16.7
2023-06-03,15.95
2023-06-02,15.4
2023-06-01,13.65
2023-05-31,13.64
2023-05-30,13.65
2023-05-29,15.1
2023-05-28,15.35
2023-05-27,16.8
2023-05-26,16.6
2023-05-25,15.2
2023-05-24,14.14
2023-05-23,12.3
2023-05-22,13.8
2023-05-21,15.2
2023-05-20,16.35
2023-05-19,17.05
2023-05-18,19.79
2023-05-17,16.95
2023-05-16,18
2023-05-15,18.5
2023-05-14,17.39
2023-05-13,15.85
2023-05-12,15.35
2023-05-11,14.95
2023-05-10,12.65
2023-05-09,12.6
2023-05-08,10.14
2023-05-07,11.6
2023-05-06,11.05
2023-05-05,11.1
2023-05-04,15.4
2023-05-03,15.05
2023-05-02,13.05
2023-05-01,11.25
2023-04-30,12.3
2023-04-29,15.25
2023-04-28,11.3
2023-04-27,9.75
2023-04-26,11.25
2023-04-25,10.45
2023-04-24,8.25
2023-04-23,9.8
2023-04-22,9.39
2023-04-21,8.15
2023-04-20,6.8
2023-04-19,7.95
2023-04-18,7.45
2023-04-17,6.15
2023-04-16,8.5
2023-04-15,8.55
2023-04-14,6.05
2023-04-13,7.1
2023-04-12,5.19
2023-04-11,8
2023-04-10,7.69
2023-04-09,9.3
2023-04-08,8.35
2023-04-07,11.25
2023-04-06,8.8
2023-04-05,5.85
2023-04-04,6.19
2023-04-03,4.75
2023-04-02,5.09
2023-04-01,6.8
2023-03-31,6.55
2023-03-30,7.44
2023-03-29,7.44
2023-03-28,8.5
2023-03-27,5.9
2023-03-26,4.59
2023-03-25,4.5
2023-03-24,5.65
2023-03-23,7.9
2023-03-22,6.45
2023-03-21,8.6
2023-03-20,8.65
2023-03-19,6.8
2023-03-18,7.85
2023-03-17,4.75
2023-03-16,3.5
2023-03-15,5.25
2023-03-14,5.85
2023-03-13,7.4
2023-03-12,6.15
2023-03-11,5.94
2023-03-10,5.3
2023-03-09,6.6
2023-03-08,4.8
2023-03-07,6.5
2023-03-06,6.55
2023-03-05,5.3
2023-03-04,3.7
2023-03-03,4.3
2023-03-02,5.6
2023-03-01,2.25
