date,avg_temperature
2023-12-31,-14.2
2023-12-30,-5.5
2023-12-29,-14.15
2023-12-28,-12.85
2023-12-27,-11.85
2023-12-26,-2.29
2023-12-25,-0.45
2023-12-24,-0.3
2023-12-23,-8.2
2023-12-22,-10.55
2023-12-21,-4.84
2023-12-20,-10.05
2023-12-19,-13.25
2023-12-18,-8.5
2023-12-17,-3.25
2023-12-16,-10.1
2023-12-15,-6.75
2023-12-14,-4.6
2023-12-13,-1.54
2023-12-12,2
2023-12-11,-3.8
2023-12-10,-16.45
2023-12-09,-12.35
2023-12-08,-7
2023-12-07,-4.25
2023-12-06,-1
2023-12-05,-1.3
2023-12-04,-9.3
2023-12-03,-11.35
2023-12-02,-11.25
2023-12-01,-10.7
2023-11-30,-7.35
2023-11-29,-11.1
2023-11-28,-6
2023-11-27,1
2023-11-26,2.35
2023-11-25,-2
2023-11-24,2.15
2023-11-23,0.4
2023-11-22,-4.84
2023-11-21,-11.15
2023-11-20,-20.1
2023-11-19,-18.45
2023-11-18,-8.85
2023-11-17,-2.1
2023-11-16,0.45
2023-11-15,-10.14
2023-11-14,-6.95
2023-11-13,-7.1
2023-11-12,-2.84
2023-11-11,-2.4
2023-11-10,0.05
2023-11-09,3.4
2023-11-08,0.8
2023-11-07,-1.9
2023-11-06,-2
2023-11-05,-1.55
2023-11-04,-0.6
2023-11-03,0.65
2023-11-02,0.4
2023-11-01,0.09
2023-10-31,1
2023-10-30,0.09
2023-10-29,-3.05
2023-10-28,-7.2
2023-10-27,-8.19
2023-10-26,-7.55
2023-10-25,-3.4
2023-10-24,-12.55
2023-10-23,-9.5
2023-10-22,-8.35
2023-10-21,-9.75
2023-10-20,-4.59
2023-10-19,2.9
2023-10-18,6.44
2023-10-17,7.7
2023-10-16,1.9
2023-10-15,5.55
2023-10-14,6.05
2023-10-13,8.4
2023-10-12,3.4
2023-10-11,3.05
2023-10-10,6.35
2023-10-09,8.4
2023-10-08,8.9
2023-10-07,9.55
2023-10-06,10.1
2023-10-05,1.05
2023-10-04,0.14
2023-10-03,3.75
2023-10-02,7.15
2023-10-01,6.05
2023-09-30,4.9
2023-09-29,6.1
