date,Vancouver,Victoria,Whitehorse
2023-12-31,7.25,4.59,-14.2
2023-12-30,10.8,8,-5.5
2023-12-29,9.94,7.85,-14.15
2023-12-28,10.64,9.5,-12.85
2023-12-27,9.19,9.35,-11.85
2023-12-26,7.95,8.3,-2.29
2023-12-25,7.8,7.8,-0.45
2023-12-24,3,3.45,-0.3
2023-12-23,3.3,2.95,-8.2
2023-12-22,7.35,5.4,-10.55
2023-12-21,9.19,8.44,-4.84
2023-12-20,9.3,8.1,-10.05
2023-12-19,8.94,8.19,-13.25
2023-12-18,6.5,5.85,-8.5
2023-12-17,5.35,5.9,-3.25
2023-12-16,7,3.8,-10.1
2023-12-15,8.3,6,-6.75
2023-12-14,6.45,6.65,-4.6
2023-12-13,5.09,3.7,-1.54
2023-12-12,4.55,4.5,2
2023-12-11,5.95,6.55,-3.8
2023-12-10,6.15,6.19,-16.45
2023-12-09,2.75,5.55,-12.35
2023-12-08,3.45,3.15,-7
2023-12-07,5.5,3.95,-4.25
2023-12-06,8.25,6.1,-1
2023-12-05,10.4,11.35,-1.3
2023-12-04,7.9,9,-9.3
2023-12-03,6.95,9.3,-11.35
2023-12-02,6.5,6.25,-11.25
2023-12-01,4.45,6.25,-10.7
2023-11-30,1.69,3.95,-7.35
2023-11-29,0.95,3.35,-11.1
2023-11-28,1.8,3.7,-6
2023-11-27,4.3,3.65,1
2023-11-26,1.79,2.5,2.35
2023-11-25,3.09,3.15,-2
2023-11-24,2.54,4.09,2.15
2023-11-23,3.7,5.25,0.4
2023-11-22,5.55,6.1,-4.84
2023-11-21,4.39,5.15,-11.15
2023-11-20,6.5,5.05,-20.1
2023-11-19,7.35,6.75,-18.45
2023-11-18,5.65,5.4,-8.85
2023-11-17,4.09,4.84,-2.1
2023-11-16,3.09,4.8,0.45
2023-11-15,5.35,4.09,-10.14
2023-11-14,4.75,4.7,-6.95
2023-11-13,6.55,6.55,-7.1
2023-11-12,7.3,7.6,-2.84
2023-11-11,8.85,8.64,-2.4
2023-11-10,6.6,6.44,0.05
2023-11-09,6.8,5.85,3.4
2023-11-08,7.3,6.75,0.8
2023-11-07,8.65,9,-1.9
2023-11-06,10.1,10.64,-2
2023-11-05,11.89,11.3,-1.55
2023-11-04,14.2,14.25,-0.6
2023-11-03,11.2,9.8,0.65
2023-11-02,12.45,12.39,0.4
2023-11-01,6.75,6.85,0.09
2023-10-31,5.45,5.3,1
2023-10-30,4.2,5.6,0.09
2023-10-29,4.09,4.9,-3.05
2023-10-28,3.05,3.4,-7.2
2023-10-27,3.64,4.45,-8.19
2023-10-26,4.75,4.45,-7.55
2023-10-25,7.3,6.2,-3.4
2023-10-24,7.69,5.9,-12.55
2023-10-23,8.19,7.69,-9.5
2023-10-22,8.85,10.3,-8.35
2023-10-21,11.55,11.2,-9.75
2023-10-20,12.05,12.25,-4.59
2023-10-19,13.75,13.15,2.9
2023-10-18,12.25,12.8,6.44
2023-10-17,10.3,10.35,7.7
2023-10-16,14.3,13.95,1.9
2023-10-15,15.89,14.35,5.55
2023-10-14,15.75,11.2,6.05
2023-10-13,12.1,11.7,8.4
2023-10-12,11.45,11.15,3.4
2023-10-11,12.8,11.55,3.05
2023-10-10,13.85,12.9,6.35
2023-10-09,14.95,12.95,8.4
2023-10-08,15.6,13.3,8.9
2023-10-07,13.5,16.35,9.55
2023-10-06,12.6,16.95,10.1
2023-10-05,13.35,15.64,1.05
2023-10-04,13.2,11.85,0.14
2023-10-03,11.75,11.55,3.75
2023-10-02,11.55,10.6,7.15
