glacier_id,lon,lat
RGI60-02.00001,-121.235,49.0019
RGI60-02.00002,-121.59,49.1617
RGI60-02.00003,-121.209,49.1627
RGI60-02.00004,-121.601,49.1657
RGI60-02.00005,-121.611,49.1666
RGI60-02.00006,-121.218,49.1668
RGI60-02.00007,-121.628,49.1709
RGI60-02.00008,-121.66,49.1751
RGI60-02.00009,-122.344,49.4291
RGI60-02.00010,-122.353,49.431
RGI60-02.00011,-122.352,49.4353
RGI60-02.00012,-122.357,49.4383
RGI60-02.00013,-122.362,49.4364
RGI60-02.00014,-125.761,49.4567
RGI60-02.00015,-125.754,49.4658
RGI60-02.00016,-125.748,49.4618
RGI60-02.00017,-125.764,49.4635
RGI60-02.00018,-125.646,49.4817
RGI60-02.00019,-125.657,49.4802
RGI60-02.00020,-125.5,49.4864
RGI60-02.00021,-122.72,49.5074
RGI60-02.00022,-125.739,49.5199
RGI60-02.00023,-125.388,49.5311
RGI60-02.00024,-125.396,49.5316
RGI60-02.00025,-122.109,49.5356
RGI60-02.00026,-122.102,49.5392
RGI60-02.00027,-125.728,49.54
RGI60-02.00028,-125.397,49.5397
RGI60-02.00029,-125.74,49.5439
RGI60-02.00030,-125.607,49.546
RGI60-02.00031,-125.45,49.5467
RGI60-02.00032,-125.443,49.5469
RGI60-02.00033,-125.603,49.547
RGI60-02.00034,-125.383,49.5453
RGI60-02.00035,-125.7289734,49.54937363
RGI60-02.00036,-125.457,49.5507
RGI60-02.00037,-125.372,49.5511
RGI60-02.00038,-125.353,49.5504
RGI60-02.00039,-125.35,49.5457
RGI60-02.00040,-125.36,49.5524
RGI60-02.00041,-125.363,49.5494
RGI60-02.00042,-125.368,49.5594
RGI60-02.00043,-122.074,49.564
RGI60-02.00044,-125.913,49.5663
RGI60-02.00045,-115.423,49.571
RGI60-02.00046,-125.399,49.5781
RGI60-02.00047,-125.407,49.5802
RGI60-02.00048,-122.807,49.5753
RGI60-02.00049,-122.82,49.5768
RGI60-02.00050,-122.801,49.572
RGI60-02.00051,-122.068,49.5858
RGI60-02.00052,-125.401,49.5837
RGI60-02.00053,-125.412,49.5881
RGI60-02.00054,-122.085,49.5877
RGI60-02.00055,-122.094,49.5875
RGI60-02.00056,-122.074,49.5885
RGI60-02.00057,-122.241,49.5927
RGI60-02.00058,-122.251,49.5889
RGI60-02.00059,-125.398,49.5917
RGI60-02.00060,-125.681,49.5987
RGI60-02.00061,-125.671,49.6012
RGI60-02.00062,-122.093,49.6097
RGI60-02.00063,-122.087,49.6078
RGI60-02.00064,-125.969,49.6266
RGI60-02.00065,-125.97,49.6301
RGI60-02.00066,-125.981,49.6328
RGI60-02.00067,-125.966,49.6374
RGI60-02.00068,-125.97,49.634
RGI60-02.00069,-122.208,49.6423
RGI60-02.00070,-122.237,49.6439
RGI60-02.00071,-122.273,49.6432
RGI60-02.00072,-122.246,49.6442
RGI60-02.00073,-122.279,49.6457
RGI60-02.00074,-122.548,49.6522
RGI60-02.00075,-122.277,49.6528
RGI60-02.00076,-122.812,49.6541
RGI60-02.00077,-122.517,49.655
RGI60-02.00078,-122.833,49.6541
RGI60-02.00079,-122.246,49.6523
RGI60-02.00080,-122.254,49.6477
RGI60-02.00081,-122.51,49.6581
RGI60-02.00082,-122.524,49.6599
RGI60-02.00083,-122.824,49.6588
RGI60-02.00084,-122.834,49.6608
RGI60-02.00085,-122.285,49.6621
RGI60-02.00086,-125.751,49.665
RGI60-02.00087,-122.843,49.6658
RGI60-02.00088,-125.7442017,49.66687775
RGI60-02.00089,-122.561,49.6665
RGI60-02.00090,-125.759,49.6631
RGI60-02.00091,-122.286,49.6699
RGI60-02.00092,-125.743,49.675
RGI60-02.00093,-122.469,49.6749
RGI60-02.00094,-122.552,49.6645
RGI60-02.00095,-122.528,49.668
RGI60-02.00096,-122.531,49.6644
RGI60-02.00097,-122.534,49.6556
RGI60-02.00098,-122.54,49.6699
RGI60-02.00099,-125.415,49.6773
RGI60-02.00100,-125.749,49.6746
RGI60-02.00101,-125.752,49.6772
RGI60-02.00102,-125.428,49.6798
RGI60-02.00103,-125.883,49.6808
RGI60-02.00104,-122.474,49.6802
RGI60-02.00105,-125.752,49.6821
RGI60-02.00106,-122.829,49.6858
RGI60-02.00107,-122.53,49.6932
RGI60-02.00108,-122.552,49.6905
RGI60-02.00109,-122.562,49.6864
RGI60-02.00110,-122.552,49.6828
RGI60-02.00111,-122.539,49.6933
RGI60-02.00112,-122.537,49.6973
RGI60-02.00113,-122.566,49.7129
RGI60-02.00114,-122.562,49.7125
RGI60-02.00115,-121.93,49.7157
RGI60-02.00116,-122.56,49.7197
RGI60-02.00117,-122.562,49.7201
RGI60-02.00118,-125.654,49.723
RGI60-02.00119,-125.787,49.7285
RGI60-02.00120,-125.787,49.7249
RGI60-02.00121,-117.122,49.7281
RGI60-02.00122,-122.617,49.73
RGI60-02.00123,-122.6134872,49.73166275
RGI60-02.00124,-121.943,49.718
RGI60-02.00125,-121.955,49.7181
RGI60-02.00126,-121.93,49.724
RGI60-02.00127,-121.955,49.7348
RGI60-02.00128,-122.614,49.7358
RGI60-02.00129,-122.839,49.741
RGI60-02.00130,-122.609,49.74
RGI60-02.00131,-122.535,49.7416
RGI60-02.00132,-122.543,49.7425
RGI60-02.00133,-122.848,49.7462
RGI60-02.00134,-122.847,49.7432
RGI60-02.00135,-122.855,49.7437
RGI60-02.00136,-121.945,49.7409
RGI60-02.00137,-121.951,49.7435
RGI60-02.00138,-121.932,49.7493
RGI60-02.00139,-121.92,49.7502
RGI60-02.00140,-122.656,49.7472
RGI60-02.00141,-123.342,49.7473
RGI60-02.00142,-125.854,49.751
RGI60-02.00143,-122.664,49.7562
RGI60-02.00144,-121.954,49.7575
RGI60-02.00145,-117.16,49.7567
RGI60-02.00146,-117.151,49.7546
RGI60-02.00147,-117.137,49.749
RGI60-02.00148,-122.429,49.7607
RGI60-02.00149,-122.674,49.7595
RGI60-02.00150,-122.673,49.7618
RGI60-02.00151,-125.764,49.7651
RGI60-02.00152,-122.433,49.7479
RGI60-02.00153,-122.42,49.7484
RGI60-02.00154,-122.452,49.7488
RGI60-02.00155,-122.416,49.7565
RGI60-02.00156,-122.46,49.7537
RGI60-02.00157,-122.45,49.7603
RGI60-02.00158,-117.113,49.7656
RGI60-02.00159,-123.259,49.7654
RGI60-02.00160,-123.267,49.7703
RGI60-02.00161,-122.787,49.7683
RGI60-02.00162,-123.297,49.7711
RGI60-02.00163,-123.25,49.7713
RGI60-02.00164,-121.925,49.7535
RGI60-02.00165,-121.955,49.7683
RGI60-02.00166,-121.946,49.7702
RGI60-02.00167,-121.938,49.76
RGI60-02.00168,-121.942,49.7511
RGI60-02.00169,-122.599,49.7743
RGI60-02.00170,-123.239,49.774
RGI60-02.00171,-122.871,49.7715
RGI60-02.00172,-123.305,49.7762
RGI60-02.00173,-122.623,49.7326
RGI60-02.00174,-122.554,49.7374
RGI60-02.00175,-122.639,49.7614
RGI60-02.00176,-122.653,49.7549
RGI60-02.00177,-122.586,49.7433
RGI60-02.00178,-122.592,49.7393
