date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2024-01-29 16:00:00 PST",1706572800,101.05,101.1,N,0,3,,100,9.9,9.9,,,48300,,,8,,,9.9,8.9
"2024-01-29 15:00:00 PST",1706569200,101.1,101.15,SW,22,6,,100,9.7,9.7,,,48300,1.9,,8,,,10.8,9.7
"2024-01-29 14:00:00 PST",1706565600,101.12,101.17,W,26,4,,100,10.5,10.5,,,48300,2,,8,,,10.5,10.5
"2024-01-29 13:00:00 PST",1706562000,101.27,101.32,ESE,11,8,,93,12.8,13.9,,,48300,2.1,,8,,,14.1,13.5
"2024-01-29 12:00:00 PST",1706558400,101.38,101.43,E,8,5,,93,13,14.1,,,48300,2,,8,,,14.3,13.8
"2024-01-29 11:00:00 PST",1706554800,101.44,101.49,NE,5,7,,91,12.5,13.9,,,48300,2,,8,,,14,13.7
"2024-01-29 10:00:00 PST",1706551200,101.5,101.55,ENE,7,8,,88,11.7,13.7,,,48300,2,,8,,,13.7,12.9
"2024-01-29 09:00:00 PST",1706547600,101.51,101.56,ENE,6,14,,93,12.2,13.3,,,48300,1.9,,8,,,13.3,12.8
"2024-01-29 08:00:00 PST",1706544000,101.52,101.57,ENE,6,12,,89,11.6,13.3,,,40200,1.8,,8,,,13.4,12.7
"2024-01-29 07:00:00 PST",1706540400,101.52,101.57,NNE,2,9,,95,12.5,13.3,,,24100,1.6,,8,,,13.3,12.8
"2024-01-29 06:00:00 PST",1706536800,101.54,101.59,NE,4,13,,100,12.8,12.8,,,19300,1.5,,8,,,13,12.2
"2024-01-29 05:00:00 PST",1706533200,101.59,101.64,NE,5,8,,100,12.4,12.4,,,19300,1.6,,8,,,12.8,11.8
"2024-01-29 04:00:00 PST",1706529600,101.62,101.67,E,8,9,,100,12.1,12.1,,,16100,1.6,,8,,,12.2,11.7
"2024-01-29 03:00:00 PST",1706526000,101.56,101.61,E,10,10,,100,12,12,,,24100,1.6,,8,,,12.1,11.7
"2024-01-29 02:00:00 PST",1706522400,101.52,101.57,E,9,18,,100,11.7,11.7,,,24100,1.6,,8,,,11.7,11.7
"2024-01-29 01:00:00 PST",1706518800,101.59,101.64,ESE,11,15,,100,11.9,11.9,,,19300,1.6,,8,,,12.9,11.9
"2024-01-29 00:00:00 PST",1706515200,101.69,101.74,E,8,6,,97,11.7,12.2,,,19300,1.7,,8,,,12.6,11.9
"2024-01-28 23:00:00 PST",1706511600,101.7,101.75,E,8,13,,95,11.6,12.5,,,24100,1.7,,8,,,12.8,12.3
"2024-01-28 22:00:00 PST",1706508000,101.69,101.74,E,8,19,,98,12,12.3,,,24100,1.7,,8,,,12.7,11.9
"2024-01-28 21:00:00 PST",1706504400,101.72,101.77,ESE,12,12,,98,11.9,12.2,,,19300,1.6,,8,,,12.9,12.1
"2024-01-28 20:00:00 PST",1706500800,101.64,101.69,E,9,18,,97,12.3,12.8,,,24100,1.6,,8,,,12.9,12.4
"2024-01-28 19:00:00 PST",1706497200,101.68,101.73,E,9,22,,100,12.4,12.4,,,8100,1.7,,8,,,12.4,11.8
"2024-01-28 18:00:00 PST",1706493600,101.73,101.78,E,10,17,,100,11.9,11.9,,,8100,1.7,,8,,,12.5,11.9
"2024-01-28 17:00:00 PST",1706490000,101.78,101.83,ENE,8,17,,99,12.3,12.4,,,8100,1.6,,8,,,13.3,12.4
"2024-01-28 16:00:00 PST",1706486400,101.85,101.9,E,10,18,,94,11.9,12.8,,,12900,1.6,,8,,,13.3,12.8
"2024-01-28 15:00:00 PST",1706482800,101.85,101.9,ENE,7,16,,91,11.8,13.3,,,24100,1.5,,8,,,13.3,12.8
"2024-01-28 14:00:00 PST",1706479200,101.89,101.94,E,8,18,,95,12.1,12.8,,,24100,1.5,,7,,,12.8,11.6
"2024-01-28 13:00:00 PST",1706475600,102,102.05,E,9,17,,100,11.6,11.6,,,9700,1.5,,8,,,11.9,11.6
"2024-01-28 12:00:00 PST",1706472000,102.04,102.09,ESE,10,19,,99,11.7,11.9,,,16100,1.5,,8,,,11.9,11.4
"2024-01-28 11:00:00 PST",1706468400,101.97,102.02,E,9,17,,100,11.4,11.4,,,16100,1.6,,8,,,11.4,10.6
"2024-01-28 10:00:00 PST",1706464800,101.93,101.98,ESE,11,15,,100,10.7,10.7,,,6400,1.6,,8,,,10.9,10.6
"2024-01-28 09:00:00 PST",1706461200,101.85,101.9,ENE,7,10,,100,10.7,10.7,,,9700,1.6,,8,,,10.7,8.9
"2024-01-28 08:00:00 PST",1706457600,101.77,101.82,ENE,6,12,,100,10.5,10.5,,,2800,1.6,,8,,,10.5,8.9
"2024-01-28 07:00:00 PST",1706454000,101.71,101.76,ENE,7,3,,100,10.4,10.4,,,16100,1.5,,6,,,10.6,9.1
"2024-01-28 06:00:00 PST",1706450400,101.57,101.62,E,9,11,,100,9.8,9.8,,,16100,1.6,,8,,,10.4,8.9
"2024-01-28 05:00:00 PST",1706446800,101.55,101.6,N,36,1,,100,9.2,9.2,,,9700,1.6,,8,,,10.4,9.1
"2024-01-28 04:00:00 PST",1706443200,101.56,101.61,SW,23,4,,100,9.8,9.8,,,4800,1.6,,8,,,10.4,9.8
"2024-01-28 03:00:00 PST",1706439600,101.54,101.59,NW,32,13,,100,9.7,9.7,,,8100,1.6,,8,,,11.8,9.6
"2024-01-28 02:00:00 PST",1706436000,101.53,101.58,NE,5,9,,100,11.6,11.6,,,6400,1.7,,8,,,11.8,11.4
"2024-01-28 01:00:00 PST",1706432400,101.54,101.59,NE,5,9,,100,11.4,11.4,,,6400,1.8,,8,,,11.8,11.2
"2024-01-28 00:00:00 PST",1706428800,101.56,101.61,E,9,12,,100,11.5,11.5,,,8100,1.8,,8,,,11.9,11.5
"2024-01-27 23:00:00 PST",1706425200,101.54,101.59,SE,13,13,,100,11.9,11.9,,,2800,1.8,,8,,,11.9,11.4
"2024-01-27 22:00:00 PST",1706421600,101.52,101.57,E,10,18,,100,11.5,11.5,,,9700,1.8,,8,,,11.8,11.3
"2024-01-27 21:00:00 PST",1706418000,101.52,101.57,ESE,11,14,,100,11.5,11.5,,,6400,1.8,,8,,,11.7,11.2
"2024-01-27 20:00:00 PST",1706414400,101.46,101.51,E,8,22,,100,11.5,11.5,,,4800,1.8,,8,,,11.5,11.1
"2024-01-27 19:00:00 PST",1706410800,101.48,101.53,E,9,15,,100,11.2,11.2,,,4800,1.8,,8,,,11.3,10.6
"2024-01-27 18:00:00 PST",1706407200,101.49,101.54,ENE,8,9,,100,11,11,,,3200,1.8,,8,,,11,10.6
"2024-01-27 17:00:00 PST",1706403600,101.48,101.53,E,9,18,,100,10.6,10.6,,,2400,1.7,,8,,,10.9,10.6
"2024-01-27 16:00:00 PST",1706400000,101.51,101.56,E,10,21,,100,10.7,10.7,,,12900,1.8,,8,,,10.8,10.3
"2024-01-27 15:00:00 PST",1706396400,101.51,101.56,E,10,24,,100,10.6,10.6,,,9700,1.9,,8,,,10.6,10.1
"2024-01-27 14:00:00 PST",1706392800,101.49,101.54,E,9,21,,100,10.4,10.4,,,6400,2.1,,8,,,10.4,8.9
"2024-01-27 13:00:00 PST",1706389200,101.47,101.52,ENE,7,18,,100,9.9,9.9,,,4800,2,,8,,,10,8.9
"2024-01-27 12:00:00 PST",1706385600,101.5,101.55,N,36,3,,100,9.2,9.2,,,3200,2,,8,,,9.4,9.1
"2024-01-27 11:00:00 PST",1706382000,101.49,101.54,ESE,11,10,,100,9.3,9.3,,,4800,1.9,,8,,,9.3,9.1
"2024-01-27 10:00:00 PST",1706378400,101.47,101.52,E,9,12,,100,9.1,9.1,,,6400,1.8,,8,,,9.1,8.8
"2024-01-27 09:00:00 PST",1706374800,101.44,101.49,E,9,14,,100,8.8,8.8,,,6400,1.8,,8,,,9,8.8
"2024-01-27 08:00:00 PST",1706371200,101.48,101.53,E,8,9,,100,8.9,8.9,,,9700,1.8,,8,,,10,8.8
"2024-01-27 07:00:00 PST",1706367600,101.51,101.56,ENE,7,13,,99,9.8,10,,,16100,1.8,,8,,,10.3,9.8
"2024-01-27 06:00:00 PST",1706364000,101.53,101.58,ENE,6,13,,100,10,10,,,12900,1.8,,8,,,10,9.6
"2024-01-27 05:00:00 PST",1706360400,101.55,101.6,NE,5,14,,100,9.6,9.6,,,9700,1.8,,8,,,9.7,9.1
