date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2024-01-29 16:00:00 PST",1706572800,100.78,101.01,E,9,7,,100,11.8,11.8,,,32200,,,8,,,12,11.4
"2024-01-29 15:00:00 PST",1706569200,100.92,101.15,WNW,29,7,,100,11.9,11.9,,,32200,1.1,,8,,,12.2,11.6
"2024-01-29 14:00:00 PST",1706565600,100.94,101.17,W,26,8,,100,12.2,12.2,,,32200,1,,8,,,12.2,11.1
"2024-01-29 13:00:00 PST",1706562000,101.06,101.29,WNW,29,8,,100,11.6,11.6,,,32200,,,7,,,12.6,11.6
"2024-01-29 12:00:00 PST",1706558400,101.15,101.38,W,27,4,,100,11.7,11.7,,,32200,,,8,,,12.3,11.2
"2024-01-29 11:00:00 PST",1706554800,101.24,101.47,W,27,6,,100,11.3,11.3,,,32200,,,7,,,11.4,10.8
"2024-01-29 10:00:00 PST",1706551200,101.26,101.49,W,27,8,,100,10.8,10.8,,,32200,,,8,,,10.8,9.6
"2024-01-29 09:00:00 PST",1706547600,101.3,101.53,WSW,26,5,,100,9.6,9.6,,,32200,,,8,,,9.6,8.6
"2024-01-29 08:00:00 PST",1706544000,101.29,101.52,WNW,29,8,,100,8.7,8.7,,,6400,,,4,,,9.7,8.7
"2024-01-29 07:00:00 PST",1706540400,101.28,101.51,NW,33,4,,100,8.9,8.9,,,48300,,,8,,,10.7,8.9
"2024-01-29 06:00:00 PST",1706536800,101.29,101.52,WSW,25,4,,100,10.1,10.1,,,48300,,,8,,,10.7,9.9
"2024-01-29 05:00:00 PST",1706533200,101.33,101.56,N,0,3,,100,10.3,10.3,,,48300,,,8,,,10.6,9.6
"2024-01-29 04:00:00 PST",1706529600,101.35,101.58,WSW,26,3,,100,10.6,10.6,,,48300,,,8,,,10.8,10.4
"2024-01-29 03:00:00 PST",1706526000,101.37,101.6,W,26,4,,100,10.4,10.4,,,48300,,,8,,,11.4,10.4
"2024-01-29 02:00:00 PST",1706522400,101.36,101.59,E,9,8,,100,10.9,10.9,,,24100,,,8,,,11,10.4
"2024-01-29 01:00:00 PST",1706518800,101.35,101.58,E,10,11,,100,10.7,10.7,,,24100,,,8,,,11,10.3
"2024-01-29 00:00:00 PST",1706515200,101.42,101.66,E,9,6,,100,10.4,10.4,,,12900,,,8,,,10.7,10
"2024-01-28 23:00:00 PST",1706511600,101.49,101.73,W,26,12,,100,10.4,10.4,,,4800,,,8,,,10.8,10.3
"2024-01-28 22:00:00 PST",1706508000,101.45,101.69,ENE,7,4,,100,10.6,10.6,,,12900,,,8,,,11.3,10.3
"2024-01-28 21:00:00 PST",1706504400,101.43,101.67,N,36,1,,100,10.6,10.6,,,12900,,,8,,,12.2,10.4
"2024-01-28 20:00:00 PST",1706500800,101.44,101.68,NW,32,5,,100,11.8,11.8,,,12900,,,8,,,12.2,10.5
"2024-01-28 19:00:00 PST",1706497200,101.41,101.65,ESE,11,11,,100,11.6,11.6,,,16100,,,8,,,11.6,10.5
"2024-01-28 18:00:00 PST",1706493600,101.47,101.71,NW,31,3,,100,10.7,10.7,,,19300,,,8,,,10.9,10.6
"2024-01-28 17:00:00 PST",1706490000,101.51,101.75,NE,4,11,,100,10.6,10.6,,,12900,,,8,,,10.8,10.5
"2024-01-28 16:00:00 PST",1706486400,101.57,101.81,,,0,,100,10.7,10.7,,,800,,,,,,10.7,10.5
"2024-01-28 15:00:00 PST",1706482800,101.63,101.87,N,36,1,,100,10.6,10.6,,,200,,,,,,10.7,10.5
"2024-01-28 14:00:00 PST",1706479200,101.68,101.92,N,36,1,,100,10.5,10.5,,,400,,,,,,10.6,10.3
"2024-01-28 13:00:00 PST",1706475600,101.72,101.96,E,9,7,,100,10.3,10.3,,,400,,,,,,10.4,10.1
"2024-01-28 12:00:00 PST",1706472000,101.78,102.02,E,8,9,,100,10.4,10.4,,,200,,,,,,11,10
"2024-01-28 11:00:00 PST",1706468400,101.76,102,E,8,7,,100,10.4,10.4,,,400,,,,,,10.4,9.5
"2024-01-28 10:00:00 PST",1706464800,101.69,101.93,ESE,11,6,,100,9.6,9.6,,,200,,,,,,9.9,9.5
"2024-01-28 09:00:00 PST",1706461200,101.65,101.89,N,36,3,,100,9.6,9.6,,,200,,,2,,,9.6,8.1
"2024-01-28 08:00:00 PST",1706457600,101.55,101.79,NNW,34,6,,100,8.9,8.9,,,800,,,5,,,9.5,8.1
"2024-01-28 07:00:00 PST",1706454000,101.49,101.73,N,36,2,,100,9.2,9.2,,,11300,,,8,,,9.4,9.1
"2024-01-28 06:00:00 PST",1706450400,101.4,101.64,WNW,30,10,,100,9.3,9.3,,,11300,,,8,,,10.2,9.3
"2024-01-28 05:00:00 PST",1706446800,101.35,101.58,SW,22,4,,100,9.9,9.9,,,11300,,,8,,,10.1,9.8
"2024-01-28 04:00:00 PST",1706443200,101.38,101.62,W,27,9,,100,9.7,9.7,,,11300,,,8,,,10.1,9.5
"2024-01-28 03:00:00 PST",1706439600,101.33,101.57,WSW,25,9,,100,9.8,9.8,,,11300,,,8,,,9.8,9.3
"2024-01-28 02:00:00 PST",1706436000,101.31,101.55,W,28,3,,100,9.5,9.5,,,11300,,,8,,,9.6,9.4
"2024-01-28 01:00:00 PST",1706432400,101.32,101.56,WNW,29,5,,100,9.6,9.6,,,11300,,,8,,,9.9,9.6
"2024-01-28 00:00:00 PST",1706428800,101.32,101.56,NE,5,6,,100,9.8,9.8,,,11300,,,8,,,9.9,9.6
"2024-01-27 23:00:00 PST",1706425200,101.34,101.58,NW,31,8,,100,9.8,9.8,,,11300,,,8,,,10.1,9.6
"2024-01-27 22:00:00 PST",1706421600,101.32,101.56,ESE,12,11,,100,10.2,10.2,,,11300,1.7,,8,,,10.6,10.2
"2024-01-27 21:00:00 PST",1706418000,101.27,101.51,SE,14,9,,100,10.5,10.5,,,11300,1.7,,8,,,10.7,9.4
"2024-01-27 20:00:00 PST",1706414400,101.26,101.5,SE,13,14,,100,10.4,10.4,,,8100,1.5,,8,,,10.5,9.4
"2024-01-27 19:00:00 PST",1706410800,101.25,101.49,N,36,1,,100,9.7,9.7,,,11300,1.5,,8,,,10.9,9.7
"2024-01-27 18:00:00 PST",1706407200,101.23,101.47,ESE,12,10,,100,10.7,10.7,,,16100,1.4,,8,,,10.7,10.1
"2024-01-27 17:00:00 PST",1706403600,101.24,101.48,ESE,12,10,,100,10.6,10.6,,,11300,1.4,,8,,,10.6,9.8
"2024-01-27 16:00:00 PST",1706400000,101.24,101.48,ESE,12,7,,100,9.9,9.9,,,19300,1.3,,8,,,10,9.7
"2024-01-27 15:00:00 PST",1706396400,101.25,101.49,ESE,11,10,,100,9.8,9.8,,,12900,1.4,,8,,,10,9.6
"2024-01-27 14:00:00 PST",1706392800,101.26,101.5,N,36,2,,100,9.6,9.6,,,11300,1.4,,8,,,9.6,9
"2024-01-27 13:00:00 PST",1706389200,101.25,101.49,N,36,2,,100,9.2,9.2,,,11300,1.4,,8,,,9.2,8.8
"2024-01-27 12:00:00 PST",1706385600,101.26,101.5,W,26,5,,100,8.9,8.9,,,4800,1.4,,8,,,8.9,8.3
"2024-01-27 11:00:00 PST",1706382000,101.28,101.52,WNW,28,7,,100,8.3,8.3,,,1600,1.3,,8,,,8.4,8.1
"2024-01-27 10:00:00 PST",1706378400,101.26,101.5,WNW,29,10,,100,8.2,8.2,,,3200,1.2,,8,,,8.3,8
"2024-01-27 09:00:00 PST",1706374800,101.25,101.49,W,28,6,,100,8.2,8.2,,,8100,1.2,,8,,,8.2,8
"2024-01-27 08:00:00 PST",1706371200,101.24,101.48,WNW,29,8,,100,8,8,,,9700,1.3,,8,,,8.1,8
"2024-01-27 07:00:00 PST",1706367600,101.26,101.5,WSW,26,6,,100,8,8,,,11300,1.4,,8,,,8.1,8
"2024-01-27 06:00:00 PST",1706364000,101.28,101.52,W,27,10,,100,8.1,8.1,,,11300,1.4,,8,,,8.3,8
"2024-01-27 05:00:00 PST",1706360400,101.3,101.54,W,26,8,,100,8.1,8.1,,,9700,1.5,,8,,,8.5,8.1
"2024-01-27 04:00:00 PST",1706356800,101.33,101.57,WNW,29,6,,100,8.3,8.3,,,8100,1.5,,8,,,9.1,8.2
"2024-01-27 03:00:00 PST",1706353200,101.37,101.61,N,1,5,,100,8.9,8.9,,,4800,1.5,,8,,,9.1,8.8
"2024-01-27 02:00:00 PST",1706349600,101.41,101.65,E,10,6,,100,9.1,9.1,,,8100,1.5,,8,,,9.2,9
"2024-01-27 01:00:00 PST",1706346000,101.43,101.67,SE,14,13,,100,9,9,,,8100,1.5,,8,,,9,8.7
"2024-01-27 00:00:00 PST",1706342400,101.42,101.66,SE,13,14,,100,8.8,8.8,,,4800,1.7,,8,,,8.9,8.5
"2024-01-26 23:00:00 PST",1706338800,101.4,101.64,ENE,7,9,,100,8.5,8.5,,,4800,1.9,,8,,,8.6,8.4
"2024-01-26 22:00:00 PST",1706335200,101.39,101.63,ENE,7,11,,100,8.6,8.6,,,4800,1.9,,8,,,8.8,8.5
"2024-01-26 21:00:00 PST",1706331600,101.33,101.57,E,10,18,27,100,8.6,8.6,,,6400,2,,8,,,8.6,8.3
"2024-01-26 20:00:00 PST",1706328000,101.29,101.53,N,36,5,,100,8.3,8.3,,,8100,2,,8,,,8.8,8
