date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2024-01-29 18:00:00 MST",1706576400,90.13,98.39,SSE,15,36,48,82,0.4,3.2,,,24100,,,7,,,3.7,3.1
"2024-01-29 17:00:00 MST",1706572800,90.08,98.34,SE,14,23,42,85,1,3.3,,,24100,2.4,,8,,70,3.4,2.8
"2024-01-29 16:00:00 MST",1706569200,89.98,98.24,SSE,16,31,49,89,1.3,2.9,,,24100,2.3,,7,,203,3.5,2.8
"2024-01-29 15:00:00 MST",1706565600,89.9,98.15,SSE,16,39,52,89,1.7,3.4,,,24100,2.4,,8,,295,3.8,3.4
"2024-01-29 14:00:00 MST",1706562000,89.8,98.03,SSE,15,34,48,88,1.9,3.7,,,40200,2.4,,8,,194,4.4,3.5
"2024-01-29 13:00:00 MST",1706558400,89.68,97.9,SSE,15,37,59,83,1.7,4.3,,,40200,2.4,,7,,82,4.7,4
"2024-01-29 12:00:00 MST",1706554800,89.56,97.77,SSE,15,38,62,80,1.2,4.3,,,40200,2.3,,7,,25,4.5,3.8
"2024-01-29 11:00:00 MST",1706551200,89.51,97.72,SSE,16,30,46,83,1.2,3.8,,,40200,2.3,,7,,,3.8,2.9
"2024-01-29 10:00:00 MST",1706547600,89.56,97.78,SSE,16,28,,86,1.1,3.2,,,24100,2.3,,8,,,3.4,2.9
"2024-01-29 09:00:00 MST",1706544000,89.57,97.79,SSE,15,28,39,87,1.1,3.1,,,24100,2.3,,8,,,3.6,3
"2024-01-29 08:00:00 MST",1706540400,89.64,97.87,SSE,16,31,42,85,1.1,3.4,,,24100,2.3,,8,,,3.8,3.3
"2024-01-29 07:00:00 MST",1706536800,89.69,97.92,SSE,16,31,53,83,1.1,3.7,,,24100,2.3,,8,,,3.7,3.4
"2024-01-29 06:00:00 MST",1706533200,89.72,97.95,SE,15,39,61,83,0.9,3.5,,,24100,2.4,,8,,,3.5,2.8
"2024-01-29 05:00:00 MST",1706529600,89.77,98.01,SSE,15,36,55,84,0.5,3,,,24100,2.4,,8,,,3.1,2.6
"2024-01-29 04:00:00 MST",1706526000,89.84,98.09,SSE,16,29,45,87,0.6,2.6,,,24100,2.4,,8,,,2.8,2.3
"2024-01-29 03:00:00 MST",1706522400,89.93,98.19,SSE,16,39,64,86,0.5,2.6,,,24100,2.4,,8,,,2.9,2.6
"2024-01-29 02:00:00 MST",1706518800,90.04,98.31,SSE,15,42,61,85,0.6,2.8,,,24100,2.5,,8,,,3,2.6
"2024-01-29 01:00:00 MST",1706515200,90.16,98.44,SSE,15,36,59,86,0.5,2.6,,,24100,2.6,,8,,,3,2.4
